date,J_close,JM_close,spread,beta,J_position,JM_position,daily_return
2017-02-21,1736.0,1268.0,-292.8000000000002,1.6,0,0,0.0
2017-02-22,1666.5,1223.5,-291.10000000000014,1.6,0,0,0.0
2017-02-23,1685.0,1219.0,-265.4000000000001,1.6,0,0,0.0
2017-02-24,1716.0,1257.5,-170.25,1.5,0,0,0.0
2017-02-27,1738.0,1266.0,-161.0,1.5,0,0,0.0
2017-02-28,1718.0,1249.5,-156.25,1.5,0,0,0.0
2017-03-01,1818.5,1327.0,-172.0,1.5,0,0,0.0
2017-03-02,1810.5,1318.5,-167.25,1.5,0,0,0.0
2017-03-03,1806.0,1310.5,-159.75,1.5,0,0,0.0
2017-03-06,1788.5,1309.5,-306.7000000000003,1.6,0,0,0.0
2017-03-07,1798.5,1303.5,-156.75,1.5,0,0,0.0
2017-03-08,1787.0,1294.0,-283.4000000000001,1.6,0,0,0.0
2017-03-09,1794.5,1304.5,-292.7000000000003,1.6,0,0,0.0
2017-03-10,1768.0,1273.5,-269.60000000000014,1.6,0,0,0.0
2017-03-13,1850.0,1318.0,-258.8000000000002,1.6,0,0,0.0
2017-03-14,1863.0,1313.0,-237.80000000000018,1.6,0,0,0.0
2017-03-15,1863.0,1304.5,-224.20000000000027,1.6,0,0,0.0
2017-03-16,1877.5,1298.0,-329.0999999999999,1.7,0,0,0.0
2017-03-17,1856.0,1275.5,-312.3499999999999,1.7,0,0,0.0
2017-03-20,1900.0,1307.0,-321.9000000000001,1.7,0,0,0.0
2017-03-21,1890.0,1301.5,-322.5499999999997,1.7,0,0,0.0
2017-03-22,1852.0,1272.0,-437.5999999999999,1.8,0,0,0.0
2017-03-23,1894.0,1306.5,-327.0499999999997,1.7,10,-18,-0.00114928
2017-03-24,1892.5,1291.0,-431.3000000000002,1.8,10,-18,0.00132152
2017-03-27,1843.5,1234.0,-501.0999999999999,1.9,10,-18,0.00267954
2017-03-28,1854.5,1228.5,-233.94999999999982,1.7,10,-18,0.00104203
2017-03-29,1915.0,1277.0,-0.5,1.5,10,-18,-0.0013348
2017-03-30,1907.0,1281.0,113.60000000000014,1.4,0,0,-0.0002804
2017-03-31,1900.5,1235.0,295.0,1.3,10,-14,-0.00137497
2017-04-05,1896.5,1324.5,704.45,0.9,10,-14,-0.00645921
2017-04-06,1915.0,1343.0,572.0,1.0,10,-14,-0.00037207
2017-04-07,1818.0,1283.5,534.5,1.0,10,-14,-0.00068909
2017-04-10,1797.0,1264.5,785.4,0.8,10,-14,0.00028187
2017-04-11,1736.0,1216.0,1128.0,0.5,10,-14,0.0003472
2017-04-12,1633.5,1154.5,940.8000000000001,0.6,10,-14,-0.00082495
2017-04-13,1635.0,1142.5,606.75,0.9,10,-14,0.00092128
2017-04-14,1612.0,1108.0,504.0,1.0,10,-14,0.00127251
2017-04-17,1654.0,1128.5,412.64999999999986,1.1,10,-14,0.0006681
2017-04-18,1604.0,1096.5,288.20000000000005,1.2,10,-14,-0.00026104
2017-04-19,1546.0,1078.0,252.4000000000001,1.2,0,0,-0.00029422
2017-04-20,1605.5,1124.5,143.64999999999986,1.3,-10,12,5.098e-05
2017-04-21,1651.0,1138.5,170.95000000000005,1.3,0,0,8.054e-05
2017-04-24,1599.0,1091.5,70.90000000000009,1.4,0,0,0.0
2017-04-25,1604.5,1085.0,85.5,1.4,0,0,0.0
2017-04-26,1570.5,1080.0,58.5,1.4,0,0,0.0
2017-04-27,1599.0,1116.5,35.90000000000009,1.4,0,0,0.0
2017-04-28,1629.0,1127.0,-61.5,1.5,0,0,0.0
2017-05-02,1628.5,1141.0,-83.0,1.5,0,0,0.0
2017-05-03,1573.5,1106.0,-85.5,1.5,0,0,0.0
2017-05-04,1493.0,1049.5,-81.25,1.5,0,0,0.0
2017-05-05,1477.5,1020.0,-52.5,1.5,0,0,0.0
2017-05-08,1498.5,1039.0,-60.0,1.5,0,0,0.0
2017-05-09,1527.0,1046.5,-42.75,1.5,0,0,0.0
2017-05-10,1572.5,1066.0,-26.5,1.5,0,0,0.0
2017-05-11,1542.5,1025.5,4.25,1.5,0,0,0.0
2017-05-12,1507.5,1013.5,-12.75,1.5,0,0,0.0
2017-05-15,1507.0,1019.5,79.70000000000005,1.4,0,0,0.0
2017-05-16,1514.0,1029.0,73.40000000000009,1.4,0,0,0.0
2017-05-17,1550.0,1047.5,188.25,1.3,0,0,0.0
2017-05-18,1531.0,1029.0,296.20000000000005,1.2,0,0,0.0
2017-05-19,1572.0,1048.5,313.79999999999995,1.2,-10,12,-0.00130944
2017-05-22,1555.0,1048.0,297.4000000000001,1.2,-10,12,0.0008247
2017-05-23,1581.0,1075.0,398.5,1.1,-10,12,0.00032157
2017-05-24,1527.0,1037.5,385.75,1.1,-10,12,0.00045206
2017-05-25,1539.5,1051.0,383.39999999999986,1.1,-10,12,0.00018576
2017-05-26,1544.0,1033.0,407.6999999999998,1.1,-10,12,-0.00131014
2017-05-31,1426.5,949.0,382.5999999999999,1.1,-10,12,0.00083939
2017-06-01,1430.5,950.5,384.9499999999998,1.1,-10,12,-0.00011049
2017-06-02,1391.0,940.0,357.0,1.1,-10,12,0.00135109
2017-06-05,1406.5,958.5,352.14999999999986,1.1,-10,12,0.00033606
2017-06-06,1414.5,969.0,251.70000000000005,1.2,-10,12,0.00023065
2017-06-07,1417.5,971.5,251.70000000000005,1.2,-10,12,0.0
2017-06-08,1421.5,969.0,258.70000000000005,1.2,-10,12,-0.00035091
2017-06-09,1417.0,951.0,275.79999999999995,1.2,-10,12,-0.00085752
2017-06-12,1453.0,966.5,293.20000000000005,1.2,-10,12,-0.00087332
2017-06-13,1436.5,954.0,291.70000000000005,1.2,-10,12,7.535e-05
2017-06-14,1517.5,985.0,335.5,1.2,-10,12,-0.00220011
2017-06-15,1512.0,968.0,350.4000000000001,1.2,-10,12,-0.00075009
2017-06-16,1541.0,964.0,384.20000000000005,1.2,-10,12,-0.00170282
2017-06-19,1592.5,998.5,494.14999999999986,1.1,-10,12,-0.0005097
2017-06-20,1588.5,1014.5,371.10000000000014,1.2,-10,12,0.00117139
2017-06-21,1605.5,1029.5,370.10000000000014,1.2,-10,12,5.043e-05
2017-06-22,1621.5,1032.5,279.25,1.3,-10,12,-0.00062532
2017-06-23,1635.5,1041.5,177.4000000000001,1.4,-10,12,-0.00016147
2017-06-26,1634.0,1022.5,100.25,1.5,-10,12,-0.00107499
2017-06-27,1679.0,1049.5,104.75,1.5,-10,12,-0.00063659
2017-06-28,1691.5,1077.5,-32.5,1.6,-10,12,0.00106672
2017-06-29,1751.5,1132.0,-172.89999999999986,1.7,0,0,0.00034853
2017-06-30,1752.0,1119.5,-151.14999999999986,1.7,-10,17,-0.00096047
2017-07-03,1796.0,1147.0,-268.5999999999999,1.8,-10,17,0.00013896
2017-07-04,1761.5,1103.5,-224.79999999999995,1.8,-10,17,-0.00199324
2017-07-05,1772.5,1122.5,-360.25,1.9,-10,17,0.00107834
2017-07-06,1783.5,1123.5,-351.1500000000001,1.9,-10,17,-0.00047032
2017-07-07,1798.5,1128.0,-457.5,2.0,-10,17,-0.00037188
2017-07-10,1831.0,1128.5,-426.0,2.0,-10,17,-0.00160195
2017-07-11,1875.0,1151.5,-428.0,2.0,-10,17,-0.00024841
