date,L_close,MA_close,spread,beta,L_position,MA_position,daily_return
2017-02-21,9830.0,2963.0,5978.1,1.3,0,0,0.0
2017-02-22,9850.0,2960.0,6594.0,1.1,0,0,0.0
2017-02-23,9645.0,2883.0,6762.0,1.0,0,0,0.0
2017-02-24,9675.0,2933.0,7035.299999999999,0.9,0,0,0.0
2017-02-27,9675.0,2976.0,7889.4,0.6,0,0,0.0
2017-02-28,9620.0,2909.0,8456.4,0.4,0,0,0.0
2017-03-01,9585.0,2878.0,8721.6,0.3,0,0,0.0
2017-03-02,9625.0,2857.0,9053.6,0.2,0,0,0.0
2017-03-03,9660.0,2860.0,9088.0,0.2,0,0,0.0
2017-03-06,9720.0,2829.0,8588.4,0.4,0,0,0.0
2017-03-07,9655.0,2849.0,7945.6,0.6,0,0,0.0
2017-03-08,9305.0,2776.0,7084.2,0.8,0,0,0.0
2017-03-09,9260.0,2727.0,5714.9,1.3,0,0,0.0
2017-03-10,9115.0,2731.0,3926.1000000000004,1.9,0,0,0.0
2017-03-13,9210.0,2701.0,2457.5,2.5,0,0,0.0
2017-03-14,9195.0,2662.0,1741.4000000000005,2.8,0,0,0.0
2017-03-15,9250.0,2720.0,1634.000000000001,2.8,0,0,0.0
2017-03-16,9390.0,2679.0,1888.8000000000002,2.8,0,0,0.0
2017-03-17,9405.0,2675.0,2182.499999999999,2.7,0,0,0.0
2017-03-20,9445.0,2633.0,2599.2,2.6,0,0,0.0
2017-03-21,9400.0,2571.0,3229.6000000000004,2.4,0,0,0.0
2017-03-22,9245.0,2530.0,3679.0,2.2,0,0,0.0
2017-03-23,9345.0,2526.0,4293.0,2.0,0,0,0.0
2017-03-24,9260.0,2547.0,4675.4,1.8,0,0,0.0
2017-03-27,9195.0,2481.0,4977.3,1.7,0,0,0.0
2017-03-28,9145.0,2515.0,5372.5,1.5,-10,17,0.00783279
2017-03-29,9305.0,2552.0,5987.4,1.3,-10,17,-0.00481727
2017-03-30,9180.0,2554.0,5859.799999999999,1.3,-10,17,0.00640094
2017-03-31,9140.0,2575.0,6050.0,1.2,-10,17,0.00374976
2017-04-05,9475.0,2649.0,6296.200000000001,1.2,-10,17,-0.0103239
2017-04-06,9530.0,2661.0,6336.8,1.2,-10,17,-0.0017253
2017-04-07,9370.0,2596.0,6514.4,1.1,-10,17,0.00247255
2017-04-10,9140.0,2533.0,6607.0,1.0,-10,17,0.00612376
2017-04-11,9160.0,2475.0,6685.0,1.0,-10,17,-0.00587354
2017-04-12,9075.0,2466.0,6609.0,1.0,-10,17,0.00347221
2017-04-13,9040.0,2468.0,6325.2,1.1,-10,17,0.00190634
2017-04-14,8840.0,2389.0,6212.1,1.1,-10,17,0.00325542
2017-04-17,8805.0,2391.0,5935.8,1.2,-10,17,0.00189653
2017-04-18,8820.0,2376.0,5731.2,1.3,-10,17,-0.00199646
2017-04-19,8785.0,2402.0,5662.4,1.3,-10,17,0.00391201
2017-04-20,8830.0,2396.0,5715.2,1.3,-10,17,-0.00271593
2017-04-21,8745.0,2382.0,5648.4,1.3,-10,17,0.00301934
2017-04-24,8640.0,2362.0,5097.0,1.5,-10,17,0.00349228
2017-04-25,8580.0,2346.0,4591.8,1.7,-10,17,0.00160772
2017-04-26,8635.0,2370.0,3895.0,2.0,-10,17,-0.00069491
2017-04-27,8680.0,2395.0,3411.0,2.2,-10,17,-0.00012243
2017-04-28,8880.0,2396.0,3129.6000000000004,2.4,-10,17,-0.00971218
2017-05-02,8880.0,2399.0,2642.5999999999995,2.6,-10,17,0.00025223
2017-05-03,8840.0,2380.0,2414.0,2.7,-10,17,0.00038073
2017-05-04,8755.0,2277.0,2379.4000000000005,2.8,-10,17,-0.00445331
2017-05-05,8705.0,2231.0,2904.3999999999996,2.6,-10,17,-0.00140006
2017-05-08,8735.0,2248.0,3339.8,2.4,-10,17,-5.469e-05
2017-05-09,8740.0,2249.0,3567.3,2.3,-10,17,-0.00016407
2017-05-10,8645.0,2227.0,3968.3,2.1,-10,17,0.00286432
2017-05-11,8795.0,2245.0,4305.0,2.0,-10,17,-0.00592055
2017-05-12,8810.0,2207.0,4616.7,1.9,-10,17,-0.00397054
2017-05-15,9060.0,2255.0,5001.0,1.8,-10,17,-0.00843347
2017-05-16,9150.0,2287.0,5490.799999999999,1.6,-10,17,-0.00179801
2017-05-17,9115.0,2312.0,5647.0,1.5,-10,17,0.00392126
2017-05-18,9205.0,2278.0,5788.0,1.5,-10,17,-0.00744901
2017-05-19,9350.0,2402.0,6227.4,1.3,-10,17,0.00334116
2017-05-22,9295.0,2399.0,6896.0,1.0,-10,17,0.00252536
2017-05-23,9275.0,2380.0,7371.0,0.8,-10,17,-0.00062092
2017-05-24,9205.0,2360.0,7317.0,0.8,-10,17,0.00181844
2017-05-25,9190.0,2419.0,7496.7,0.7,-10,17,0.0058135
2017-05-26,9130.0,2373.0,7231.6,0.8,-10,17,-0.00091235
2017-05-31,9000.0,2237.0,7210.4,0.8,-10,17,-0.00507771
2017-06-01,9220.0,2273.0,7628.9,0.7,-10,17,-0.00800845
2017-06-02,8930.0,2221.0,7597.4,0.6,-10,17,0.01024898
2017-06-05,8900.0,2253.0,7548.2,0.6,-10,17,0.00424721
2017-06-06,8895.0,2299.0,7285.7,0.7,-10,17,0.00416912
2017-06-07,8860.0,2313.0,7009.6,0.8,-10,17,0.00293421
2017-06-08,8915.0,2337.0,6811.7,0.9,-10,17,-0.00070653
2017-06-09,8930.0,2329.0,6368.1,1.1,-10,17,-0.00142402
2017-06-12,9135.0,2335.0,6333.0,1.2,-10,17,-0.00971307
2017-06-13,8930.0,2295.0,5717.0,1.4,-10,17,0.00689806
2017-06-14,8925.0,2341.0,4945.3,1.7,-10,17,0.00416049
2017-06-15,8835.0,2294.0,4705.8,1.8,-10,17,0.00050297
2017-06-16,8840.0,2330.0,3947.0,2.1,-10,17,0.00279728
2017-06-19,8910.0,2369.0,3461.3,2.3,-10,17,-0.00018365
2017-06-20,8890.0,2379.0,3894.0999999999995,2.1,-10,17,0.00183682
2017-06-21,8840.0,2370.0,4574.0,1.8,-10,17,0.00171949
2017-06-22,8690.0,2310.0,4994.0,1.6,-10,17,0.00237446
2017-06-23,8730.0,2315.0,5257.5,1.5,-10,17,-0.00155455
2017-06-26,8820.0,2310.0,5817.0,1.3,-10,17,-0.00486861
2017-06-27,8880.0,2303.0,6116.4,1.2,-10,17,-0.00357122
2017-06-28,8830.0,2287.0,6314.299999999999,1.1,-10,17,0.00113652
2017-06-29,8975.0,2350.0,5920.0,1.3,-10,17,-0.00188707
2017-06-30,9025.0,2359.0,5722.4,1.4,-10,17,-0.00173101
2017-07-03,9030.0,2404.0,5424.0,1.5,-10,17,0.00357295
2017-07-04,8820.0,2367.0,5032.799999999999,1.6,-10,17,0.00732462
2017-07-05,8825.0,2400.0,5945.0,1.2,-10,17,0.00252594
2017-07-06,8955.0,2469.0,6979.8,0.8,-10,17,-0.0006262
2017-07-07,9015.0,2482.0,8022.2,0.4,-10,17,-0.0018699
2017-07-10,8860.0,2451.0,7879.6,0.4,-10,17,0.00505671
2017-07-11,9005.0,2496.0,8755.4,0.1,-10,17,-0.00336893
2017-07-12,9075.0,2485.0,8578.0,0.2,-10,17,-0.00437714
2017-07-13,9135.0,2466.0,8148.6,0.4,-10,17,-0.00457482
2017-07-14,9160.0,2484.0,7421.2,0.7,-10,17,0.00027884
2017-07-17,9165.0,2492.0,6922.2,0.9,-10,17,0.0004281
2017-07-18,9220.0,2519.0,6449.1,1.1,-10,17,-0.00045279
2017-07-19,9250.0,2529.0,6215.200000000001,1.2,-10,17,-0.00064714
2017-07-20,9650.0,2535.0,6354.5,1.3,-10,17,-0.01941674
2017-07-21,9660.0,2496.0,5416.8,1.7,-10,17,-0.00387592
2017-07-24,9640.0,2462.0,4716.0,2.0,-10,17,-0.00192765
2017-07-25,9630.0,2482.0,4169.599999999999,2.2,-10,17,0.00224816
2017-07-26,9540.0,2379.0,3592.5,2.5,-10,17,-0.00433839
2017-07-27,9550.0,2389.0,3816.4000000000005,2.4,-10,17,0.00035841
2017-07-28,9400.0,2368.0,3716.8,2.4,-10,17,0.0058503
2017-07-31,9420.0,2393.0,4155.4,2.2,-10,17,0.00114494
2017-08-01,9655.0,2423.0,4566.7,2.1,-10,17,-0.00935232
2017-08-02,9665.0,2452.0,4515.8,2.1,-10,17,0.00201639
2017-08-03,9525.0,2430.0,4422.0,2.1,-10,17,0.00525358
2017-08-04,9700.0,2475.0,4997.5,1.9,-10,17,-0.00501728
2017-08-07,9575.0,2598.0,4898.599999999999,1.8,-10,17,0.01710381
2017-08-08,9780.0,2670.0,5241.0,1.7,-10,17,-0.00415749
2017-08-09,9805.0,2684.0,5242.2,1.7,-10,17,-6.065e-05
2017-08-10,9820.0,2684.0,5257.2,1.7,-10,17,-0.00075819
2017-08-11,9555.0,2629.0,5085.7,1.7,-10,17,0.00867522
2017-08-14,9545.0,2603.0,5380.2,1.6,-10,17,-0.00171511
2017-08-15,9450.0,2593.0,5301.2,1.6,-10,17,0.00391837
2017-08-16,9455.0,2593.0,6084.1,1.3,-10,17,-0.0002502
2017-08-17,9675.0,2700.0,6705.0,1.1,-10,17,-0.00190698
2017-08-18,9735.0,2694.0,7041.0,1.0,-10,17,-0.00352036
2017-08-21,9805.0,2728.0,7077.0,1.0,-10,17,-0.00061396
2017-08-22,10040.0,2749.0,7291.0,1.0,-10,17,-0.01003588
2017-08-23,9945.0,2746.0,6924.4,1.1,-10,17,0.00457286
2017-08-24,9940.0,2739.0,6927.1,1.1,-10,17,-0.00034938
2017-08-25,9955.0,2758.0,6921.2,1.1,-10,17,0.00087628
2017-08-28,9955.0,2762.0,6916.799999999999,1.1,-10,17,0.00034413
2017-08-29,10060.0,2846.0,6929.4,1.1,-10,17,0.00191232
2017-08-30,10065.0,2868.0,6910.2,1.1,-10,17,0.001636
2017-08-31,10175.0,2882.0,7004.799999999999,1.1,-10,17,-0.00434547
2017-09-01,10360.0,2912.0,7156.799999999999,1.1,-10,17,-0.00678462
2017-09-04,10395.0,2944.0,6567.799999999999,1.3,-10,17,0.00098896
2017-09-05,10440.0,2939.0,6325.400000000001,1.4,-10,17,-0.00272459
2017-09-06,10285.0,2932.0,5887.0,1.5,-10,17,0.00730756
2017-09-07,10160.0,2891.0,5823.5,1.5,-10,17,0.00280347
2017-09-08,10075.0,2881.0,5465.4,1.6,-10,17,0.00343767
2017-09-11,10020.0,2866.0,5434.4,1.6,-10,17,0.00148623
2017-09-12,10180.0,2957.0,5448.8,1.6,-10,17,-0.00026662
2017-09-13,9935.0,2894.0,5015.2,1.7,-10,17,0.00693904
2017-09-14,9765.0,2856.0,4624.2,1.8,-10,17,0.00526711
2017-09-15,9750.0,2805.0,4701.0,1.8,-10,17,-0.00356426
2017-09-18,9790.0,2795.0,3920.5,2.1,-10,17,-0.00284365
2017-09-19,9670.0,2769.0,3855.0999999999995,2.1,-10,17,0.00379234
2017-09-20,9730.0,2803.0,3843.7,2.1,-10,17,-0.00010965
2017-09-21,9520.0,2680.0,3892.0,2.1,-10,17,4.486e-05
2017-09-22,9540.0,2687.0,3628.5999999999995,2.2,-10,17,-0.00040375
2017-09-25,9590.0,2683.0,3419.1000000000004,2.3,-10,17,-0.00283234
2017-09-26,9670.0,2695.0,3202.0,2.4,-10,17,-0.00298041
2017-09-27,9665.0,2700.0,3185.0,2.4,-10,17,0.00067711
2017-09-28,9450.0,2649.0,3092.4000000000005,2.4,-10,17,0.00643071
2017-09-29,9510.0,2718.0,2715.0,2.5,-10,17,0.00285366
2017-10-09,9515.0,2739.0,2393.5999999999995,2.6,-10,17,0.00152458
2017-10-10,9455.0,2671.0,2243.2999999999993,2.7,-10,17,-0.00275692
2017-10-11,9365.0,2591.0,2110.2000000000007,2.8,-10,17,-0.00228721
2017-10-12,9530.0,2576.0,2317.2000000000007,2.8,-10,17,-0.00949374
2017-10-13,9720.0,2645.0,2843.0,2.6,-10,17,-0.0036578
2017-10-16,9795.0,2658.0,3150.0,2.5,-10,17,-0.00267136
2017-10-17,9845.0,2673.0,3162.5,2.5,-10,17,-0.00124052
2017-10-18,9860.0,2695.0,3392.0,2.4,-10,17,0.0011356
2017-10-19,9690.0,2632.0,3636.4000000000005,2.3,-10,17,0.00318519
2017-10-20,9940.0,2746.0,3898.7999999999993,2.2,-10,17,-0.00283687
2017-10-23,9850.0,2751.0,4072.8999999999996,2.1,-10,17,0.00498624
2017-10-24,9835.0,2764.0,4307.0,2.0,-10,17,0.00186875
2017-10-25,9885.0,2749.0,4936.8,1.8,-10,17,-0.00379589
2017-10-26,9760.0,2750.0,5085.0,1.7,-10,17,0.00639432
2017-10-27,9610.0,2675.0,5330.0,1.6,-10,17,0.00112832
2017-10-30,9595.0,2658.0,5608.0,1.5,-10,17,-0.00069627
2017-10-31,9510.0,2669.0,5506.5,1.5,-10,17,0.00519806
2017-11-01,9485.0,2698.0,5977.6,1.3,-10,17,0.0037051
2017-11-02,9645.0,2754.0,6064.799999999999,1.3,-10,17,-0.00321943
2017-11-03,9715.0,2784.0,6095.799999999999,1.3,-10,17,-0.00094702
2017-11-06,9870.0,2836.0,6183.2,1.3,-10,17,-0.0033227
2017-11-07,9885.0,2840.0,5909.0,1.4,-10,17,-0.00041046
2017-11-08,9850.0,2846.0,5581.0,1.5,-10,17,0.00226349
2017-11-09,9915.0,2858.0,5628.0,1.5,-10,17,-0.0022284
2017-11-10,9810.0,2834.0,5559.0,1.5,-10,17,0.00321486
2017-11-13,9845.0,2912.0,5768.200000000001,1.4,-10,17,0.00487173
2017-11-14,9805.0,2899.0,6036.299999999999,1.3,-10,17,0.00088915
2017-11-15,9660.0,2851.0,6238.8,1.2,-10,17,0.00314649
2017-11-16,9555.0,2845.0,6425.5,1.1,-10,17,0.00469008
2017-11-17,9620.0,2911.0,7000.1,0.9,-10,17,0.00232425
2017-11-20,9705.0,2915.0,7373.0,0.8,-10,17,-0.00384184
2017-11-21,9780.0,2985.0,7690.5,0.7,-10,17,0.00216998
2017-11-22,9825.0,3002.0,8023.8,0.6,-10,17,-0.0007923
2017-11-23,9725.0,2978.0,8533.8,0.4,-10,17,0.0029156
2017-11-24,9780.0,2977.0,8886.9,0.3,-10,17,-0.00278436
2017-11-27,9530.0,2881.0,8953.8,0.2,-10,17,0.00427438
2017-11-28,9510.0,2892.0,8931.6,0.2,-10,17,0.00189763
2017-11-29,9435.0,2928.0,8849.4,0.2,-10,17,0.00666583
2017-11-30,9305.0,2906.0,8723.8,0.2,-10,17,0.00450197
2017-12-01,9390.0,2976.0,9092.4,0.1,-10,17,0.00164558
2017-12-04,9575.0,3087.0,9575.0,0.0,-10,17,0.00017878
2017-12-05,9520.0,3175.0,9520.0,-0.0,-10,17,0.00988451
2017-12-06,9510.0,3206.0,9830.6,-0.1,-10,17,0.00299948
2017-12-07,9355.0,3104.0,9665.4,-0.1,-10,17,-0.0008776
2017-12-08,9465.0,3132.0,10091.4,-0.2,-10,17,-0.00297881
2017-12-11,9455.0,2877.0,10318.1,-0.3,-10,17,-0.02027717
2017-12-12,9570.0,2958.0,10457.4,-0.3,-10,17,0.00110937
2017-12-13,9455.0,2944.0,10927.0,-0.5,-10,17,0.00445209
2017-12-14,9415.0,2905.0,11158.0,-0.6,-10,17,-0.00127819
2017-12-15,9370.0,2898.0,11398.6,-0.7,-10,17,0.00161073
2017-12-18,9460.0,2946.0,11227.6,-0.6,-10,17,-0.00040811
2017-12-19,9640.0,2936.0,11401.6,-0.6,-10,17,-0.00957503
2017-12-20,9670.0,2966.0,11153.0,-0.5,-10,17,0.00103056
2017-12-21,9675.0,2924.0,10844.6,-0.4,-10,17,-0.0037454
2017-12-22,9620.0,2920.0,10496.0,-0.3,-10,17,0.00237182
2017-12-25,9530.0,2864.0,10102.8,-0.2,-10,17,-0.00025528
2017-12-26,9795.0,2899.0,10084.9,-0.1,-10,17,-0.01009086
2017-12-27,9745.0,2861.0,10031.1,-0.1,-10,17,-0.00072423
2017-12-28,9760.0,2839.0,10043.9,-0.1,-10,17,-0.00260116
2017-12-29,9800.0,2853.0,10370.6,-0.2,-10,17,-0.00080627
2018-01-02,9955.0,2923.0,10831.9,-0.3,-10,17,-0.00179316
2018-01-03,9975.0,2909.0,10847.7,-0.3,-10,17,-0.0021856
2018-01-04,9990.0,2933.0,11163.2,-0.4,-10,17,0.00129023
2018-01-05,9975.0,2924.0,11437.0,-0.5,-10,17,-1.498e-05
2018-01-08,9960.0,2992.0,11755.2,-0.6,-10,17,0.00652284
2018-01-09,9930.0,2980.0,11420.0,-0.5,-10,17,0.00047637
2018-01-10,10020.0,2977.0,11508.5,-0.5,-10,17,-0.00471676
2018-01-11,10085.0,2975.0,11572.5,-0.5,-10,17,-0.00340857
2018-01-12,10150.0,2952.0,11626.0,-0.5,-10,17,-0.00520535
2018-01-15,10115.0,2937.0,11877.2,-0.6,-10,17,0.00047752
2018-01-16,9875.0,2827.0,11853.9,-0.7,-10,17,0.00266277
2018-01-17,9820.0,2823.0,11796.1,-0.7,-10,17,0.00241519
2018-01-18,9825.0,2820.0,11517.0,-0.6,-10,17,-0.00050487
2018-01-19,9865.0,2800.0,11265.0,-0.5,-10,17,-0.0037009
2018-01-22,9890.0,2813.0,10171.3,-0.1,-10,17,-0.00014557
2018-01-23,9965.0,2843.0,8543.5,0.5,-10,17,-0.00120492
2018-01-24,9890.0,2816.0,9045.2,0.3,-10,17,0.00146273
2018-01-25,9945.0,2842.0,9092.4,0.3,-10,17,-0.00054208
2018-01-26,10010.0,2827.0,8879.2,0.4,-10,17,-0.00454487
2018-01-29,9965.0,2847.0,9110.9,0.3,-10,17,0.00398546
2018-01-30,9840.0,2813.0,8996.1,0.3,-10,17,0.00337671
2018-01-31,9795.0,2784.0,8403.0,0.5,-10,17,-0.00021534
2018-02-01,9720.0,2772.0,8056.8,0.6,-10,17,0.00273493
2018-02-02,9660.0,2774.0,7163.4,0.9,-10,17,0.00316706
2018-02-05,9715.0,2803.0,6631.7,1.1,-10,17,-0.00028384
2018-02-06,9610.0,2816.0,5949.2,1.3,-10,17,0.00633086
2018-02-07,9585.0,2799.0,5666.4,1.4,-10,17,-0.00019304
2018-02-08,9555.0,2787.0,5374.5,1.5,-10,17,0.00047526
2018-02-09,9510.0,2768.0,5081.2,1.6,-10,17,0.00062843
2018-02-12,9440.0,2722.0,4812.6,1.7,-10,17,-0.0004055
2018-02-13,9420.0,2717.0,4257.7,1.9,-10,17,0.00056893
2018-02-14,9535.0,2719.0,4097.0,2.0,-10,17,-0.00551791
2018-02-22,9520.0,2729.0,3789.0999999999995,2.1,-10,17,0.00159097
2018-02-23,9590.0,2765.0,3783.5,2.1,-10,17,-0.00043682
2018-02-26,9565.0,2701.0,3892.8999999999996,2.1,-10,17,-0.00416156
2018-02-27,9485.0,2676.0,3330.2000000000007,2.3,-10,17,0.00187006
2018-02-28,9485.0,2678.0,2790.0,2.5,-10,17,0.00016924
2018-03-01,9680.0,2663.0,2489.8999999999996,2.7,-10,17,-0.01097356
2018-03-02,9625.0,2677.0,2664.8,2.6,-10,17,0.00396513
2018-03-05,9540.0,2678.0,3112.8,2.4,-10,17,0.00434542
2018-03-06,9535.0,2668.0,3131.8,2.4,-10,17,-0.00059884
2018-03-07,9470.0,2676.0,3315.2000000000007,2.3,-10,17,0.00392475
2018-03-08,9305.0,2642.0,3228.4000000000005,2.3,-10,17,0.00533191
2018-03-09,9305.0,2691.0,2846.6000000000004,2.4,-10,17,0.0041212
2018-03-12,9160.0,2713.0,2648.8,2.4,-10,17,0.00898706
2018-03-13,9195.0,2725.0,2382.5,2.5,-10,17,-0.00071295
2018-03-14,9350.0,2758.0,2730.8,2.4,-10,17,-0.00483296
2018-03-15,9330.0,2736.0,3037.2000000000007,2.3,-10,17,-0.00085442
2018-03-16,9260.0,2707.0,3575.3,2.1,-10,17,0.00101733
2018-03-19,9345.0,2789.0,4045.9000000000005,1.9,-10,17,0.00267085
2018-03-20,9315.0,2787.0,5691.9,1.3,-10,17,0.00130249
2018-03-21,9275.0,2777.0,6775.7,0.9,-10,17,0.00112475
2018-03-22,9270.0,2818.0,7861.0,0.5,-10,17,0.00364888
2018-03-23,9165.0,2720.0,8893.0,0.1,-10,17,-0.00299804
2018-03-26,9060.0,2698.0,9060.0,0.0,-10,17,0.00329995
2018-03-27,9175.0,2684.0,9443.4,-0.1,-10,17,-0.00675335
2018-03-28,9140.0,2686.0,9945.8,-0.3,-10,17,0.00188107
2018-03-29,9220.0,2694.0,10297.6,-0.4,-10,17,-0.00324657
2018-03-30,9225.0,2719.0,10856.4,-0.6,-10,17,0.0018395
2018-04-02,9295.0,2684.0,11442.2,-0.8,-10,17,-0.00634075
2018-04-03,9265.0,2658.0,11125.6,-0.7,-10,17,-0.00069972
2018-04-04,9195.0,2670.0,10797.0,-0.6,-10,17,0.00445765
2018-04-09,9260.0,2742.0,10631.0,-0.5,-10,17,0.00281785
