date,OI_close,Y_close,spread,beta,OI_position,Y_position,daily_return
2017-02-21,6924.0,6670.0,921.0,0.9,0,0,0.0
2017-02-22,6904.0,6654.0,915.3999999999996,0.9,0,0,0.0
2017-02-23,6824.0,6584.0,898.3999999999996,0.9,0,0,0.0
2017-02-24,6836.0,6588.0,906.8000000000002,0.9,0,0,0.0
2017-02-27,6812.0,6578.0,891.8000000000002,0.9,0,0,0.0
2017-02-28,6820.0,6572.0,905.1999999999998,0.9,0,0,0.0
2017-03-01,6890.0,6652.0,903.1999999999998,0.9,0,0,0.0
2017-03-02,6912.0,6688.0,892.8000000000002,0.9,0,0,0.0
2017-03-03,6898.0,6672.0,893.1999999999998,0.9,0,0,0.0
2017-03-06,6882.0,6686.0,196.0,1.0,0,0,0.0
2017-03-07,6760.0,6586.0,174.0,1.0,0,0,0.0
2017-03-08,6674.0,6538.0,136.0,1.0,0,0,0.0
2017-03-09,6588.0,6536.0,52.0,1.0,0,0,0.0
2017-03-10,6430.0,6414.0,-625.4000000000005,1.1,0,0,0.0
2017-03-13,6570.0,6436.0,-509.60000000000036,1.1,0,0,0.0
2017-03-14,6546.0,6354.0,-1078.7999999999993,1.2,0,0,0.0
2017-03-15,6514.0,6348.0,-1103.5999999999995,1.2,0,0,0.0
2017-03-16,6750.0,6340.0,-858.0,1.2,0,0,0.0
2017-03-17,6768.0,6374.0,-243.40000000000055,1.1,0,0,0.0
2017-03-20,6776.0,6396.0,-259.60000000000036,1.1,0,0,0.0
2017-03-21,6778.0,6498.0,-369.8000000000002,1.1,0,0,0.0
2017-03-22,6778.0,6486.0,292.0,1.0,0,0,0.0
2017-03-23,6660.0,6402.0,258.0,1.0,0,0,0.0
2017-03-24,6622.0,6362.0,260.0,1.0,0,0,0.0
2017-03-27,6512.0,6210.0,302.0,1.0,0,0,0.0
2017-03-28,6520.0,6200.0,940.0,0.9,0,0,0.0
2017-03-29,6522.0,6206.0,936.5999999999995,0.9,0,0,0.0
2017-03-30,6444.0,6122.0,934.1999999999998,0.9,0,0,0.0
2017-03-31,6328.0,6034.0,1500.8000000000002,0.8,0,0,0.0
2017-04-05,6366.0,6040.0,1534.0,0.8,0,0,0.0
2017-04-06,6336.0,6034.0,1508.8000000000002,0.8,-10,8,0.00092
2017-04-07,6264.0,5946.0,1507.1999999999998,0.8,-10,8,7.993e-05
2017-04-10,6330.0,5968.0,1555.5999999999995,0.8,-10,8,-0.00241758
2017-04-11,6360.0,6004.0,1556.8000000000002,0.8,-10,8,-6.009e-05
2017-04-12,6208.0,5898.0,1489.5999999999995,0.8,-10,8,0.00336498
2017-04-13,6278.0,5956.0,1513.1999999999998,0.8,-10,8,-0.00117779
2017-04-14,6306.0,5944.0,1550.8000000000002,0.8,-10,8,-0.00187868
2017-04-17,6340.0,5952.0,1578.3999999999996,0.8,-10,8,-0.00138163
2017-04-18,6314.0,5902.0,1592.3999999999996,0.8,-10,8,-0.0007018
2017-04-19,6222.0,5794.0,2166.2000000000003,0.7,-10,8,0.00028092
2017-04-20,6266.0,5816.0,2194.8,0.7,-10,8,-0.00132395
2017-04-21,6276.0,5820.0,2202.0000000000005,0.7,-10,8,-0.00034147
2017-04-24,6350.0,5874.0,2238.2,0.7,-10,8,-0.00154718
2017-04-25,6306.0,5814.0,2236.2000000000003,0.7,-10,8,-0.00020124
2017-04-26,6280.0,5830.0,1616.0,0.8,-10,8,0.00195246
2017-04-27,6342.0,5846.0,1665.1999999999998,0.8,-10,8,-0.00247097
2017-04-28,6312.0,5820.0,1656.0,0.8,-10,8,0.0004632
2017-05-02,6432.0,5894.0,1716.8000000000002,0.8,-10,8,-0.0030597
2017-05-03,6434.0,5886.0,1725.1999999999998,0.8,-10,8,-0.00042402
2017-05-04,6426.0,5848.0,2332.4,0.7,-10,8,-0.0011312
2017-05-05,6350.0,5810.0,2283.0000000000005,0.7,-10,8,0.00230541
2017-05-08,6452.0,5898.0,2913.2000000000003,0.6,-10,8,-0.00159393
2017-05-09,6434.0,5924.0,3472.0,0.5,-10,8,0.00196023
2017-05-10,6382.0,5908.0,3428.0,0.5,-10,8,0.00197656
2017-05-11,6460.0,6004.0,4058.4,0.4,-10,8,-6.039e-05
2017-05-12,6430.0,5976.0,4039.6,0.4,-10,8,0.00038248
2017-05-15,6452.0,5984.0,4058.4,0.4,-10,8,-0.00078479
2017-05-16,6516.0,6024.0,4708.8,0.3,-10,8,-0.00161108
2017-05-17,6516.0,6048.0,4096.799999999999,0.4,-10,8,0.00096821
2017-05-18,6460.0,5994.0,3463.0,0.5,-10,8,0.00064485
2017-05-19,6410.0,5938.0,2847.2000000000003,0.6,-10,8,0.0002618
2017-05-22,6484.0,6000.0,2284.0,0.7,-10,8,-0.00122813
2017-05-23,6412.0,5952.0,2245.6000000000004,0.7,-10,8,0.00169328
2017-05-24,6340.0,5910.0,1612.0,0.8,-10,8,0.0019319
2017-05-25,6320.0,5916.0,1587.1999999999998,0.8,-10,8,0.00124528
2017-05-26,6218.0,5822.0,1560.3999999999996,0.8,-10,8,0.00134403
2017-05-31,6032.0,5670.0,929.0,0.9,-10,8,0.00322535
2017-06-01,6034.0,5658.0,-189.80000000000018,1.1,-10,8,-0.0005791
2017-06-02,6048.0,5660.0,-744.0,1.2,0,0,-7.992e-05
2017-06-05,6084.0,5712.0,-770.3999999999996,1.2,-10,12,0.00141872
2017-06-06,6150.0,5742.0,-740.3999999999996,1.2,0,0,9.977e-05
2017-06-07,6164.0,5728.0,-709.5999999999995,1.2,0,0,0.0
2017-06-08,6146.0,5728.0,-727.5999999999995,1.2,0,0,0.0
2017-06-09,6234.0,5778.0,-699.5999999999995,1.2,0,0,0.0
2017-06-12,6314.0,5856.0,-713.1999999999998,1.2,0,0,0.0
2017-06-13,6270.0,5816.0,-709.1999999999998,1.2,0,0,0.0
2017-06-14,6296.0,5832.0,-702.3999999999996,1.2,0,0,0.0
