date,P_close,Y_close,spread,beta,P_position,Y_position,daily_return
2017-02-21,5898.0,6670.0,-2106.0,1.2,0,0,0.0
2017-02-22,5878.0,6654.0,-2106.7999999999993,1.2,0,0,0.0
2017-02-23,5790.0,6584.0,-2110.7999999999993,1.2,0,0,0.0
2017-02-24,5826.0,6588.0,-2079.5999999999995,1.2,0,0,0.0
2017-02-27,5806.0,6578.0,-2087.5999999999995,1.2,0,0,0.0
2017-02-28,5786.0,6572.0,-2100.3999999999996,1.2,0,0,0.0
2017-03-01,5856.0,6652.0,-2126.3999999999996,1.2,0,0,0.0
2017-03-02,5876.0,6688.0,-2149.5999999999995,1.2,0,0,0.0
2017-03-03,5896.0,6672.0,-2110.3999999999996,1.2,0,0,0.0
2017-03-06,5934.0,6686.0,-2089.2,1.2,0,0,0.0
2017-03-07,5876.0,6586.0,-2027.1999999999998,1.2,0,0,0.0
2017-03-08,5822.0,6538.0,-2023.5999999999995,1.2,0,0,0.0
2017-03-09,5882.0,6536.0,-1961.1999999999998,1.2,0,0,0.0
2017-03-10,5758.0,6414.0,-1297.4000000000005,1.1,0,0,0.0
2017-03-13,5552.0,6436.0,-1527.6000000000004,1.1,0,0,0.0
2017-03-14,5472.0,6354.0,-1517.4000000000005,1.1,0,0,0.0
2017-03-15,5512.0,6348.0,-2105.5999999999995,1.2,0,0,0.0
2017-03-16,5594.0,6340.0,-2014.0,1.2,0,0,0.0
2017-03-17,5612.0,6374.0,-2036.7999999999993,1.2,0,0,0.0
2017-03-20,5642.0,6396.0,-1393.6000000000004,1.1,0,0,0.0
2017-03-21,5626.0,6498.0,-1521.8000000000002,1.1,0,0,0.0
2017-03-22,5646.0,6486.0,-2137.2,1.2,0,0,0.0
2017-03-23,5540.0,6402.0,-1502.2000000000007,1.1,10,-12,-0.00064715
2017-03-24,5516.0,6362.0,-1482.2000000000007,1.1,10,-12,0.00120078
2017-03-27,5408.0,6210.0,-1423.000000000001,1.1,10,-12,0.00371794
2017-03-28,5416.0,6200.0,-1404.000000000001,1.1,10,-12,0.00099575
2017-03-29,5442.0,6206.0,-1384.6000000000004,1.1,10,-12,0.00093507
2017-03-30,5350.0,6122.0,-1384.2000000000007,1.1,10,-12,0.00043728
2017-03-31,5328.0,6034.0,-1309.4000000000005,1.1,10,-12,0.00415237
2017-04-05,5396.0,6040.0,-644.0,1.0,10,-12,0.00300742
2017-04-06,5416.0,6034.0,-618.0,1.0,10,-12,0.00134139
2017-04-07,5350.0,5946.0,-1.4000000000005457,0.9,10,-12,0.00195029
2017-04-10,5226.0,5968.0,-145.19999999999982,0.9,0,0,0.00033182
2017-04-11,5234.0,6004.0,-169.60000000000036,0.9,10,-9,-0.00202067
2017-04-12,5172.0,5898.0,-136.19999999999982,0.9,0,0,0.00055807
2017-04-13,5246.0,5956.0,-114.40000000000055,0.9,0,0,0.0
2017-04-14,5216.0,5944.0,-133.60000000000036,0.9,0,0,0.0
2017-04-17,5228.0,5952.0,-128.80000000000018,0.9,0,0,0.0
2017-04-18,5176.0,5902.0,-135.80000000000018,0.9,0,0,0.0
2017-04-19,5126.0,5794.0,-88.60000000000036,0.9,0,0,0.0
2017-04-20,5146.0,5816.0,-88.40000000000055,0.9,0,0,0.0
2017-04-21,5164.0,5820.0,508.0,0.8,0,0,0.0
2017-04-24,5190.0,5874.0,490.8000000000002,0.8,0,0,0.0
2017-04-25,5070.0,5814.0,418.8000000000002,0.8,0,0,0.0
2017-04-26,5110.0,5830.0,1029.0000000000005,0.7,0,0,0.0
2017-04-27,5172.0,5846.0,495.1999999999998,0.8,0,0,0.0
2017-04-28,5178.0,5820.0,522.0,0.8,0,0,0.0
2017-05-02,5246.0,5894.0,530.8000000000002,0.8,0,0,0.0
2017-05-03,5234.0,5886.0,525.1999999999998,0.8,0,0,0.0
2017-05-04,5206.0,5848.0,1112.4,0.7,0,0,0.0
2017-05-05,5200.0,5810.0,1133.0000000000005,0.7,-10,7,-0.00078388
2017-05-08,5354.0,5898.0,1225.4000000000005,0.7,-10,7,-0.00455054
2017-05-09,5370.0,5924.0,1223.1999999999998,0.7,-10,7,0.00010884
2017-05-10,5354.0,5908.0,1218.4000000000005,0.7,-10,7,0.00023745
2017-05-11,5514.0,6004.0,1311.1999999999998,0.7,-10,7,-0.00458954
2017-05-12,5492.0,5976.0,711.1999999999998,0.8,-10,7,0.00011924
2017-05-15,5472.0,5984.0,86.39999999999964,0.9,-10,7,0.00127177
2017-05-16,5494.0,6024.0,-530.0,1.0,0,0,-0.00039548
2017-05-17,5536.0,6048.0,-1721.5999999999995,1.2,-10,10,-0.0007521
2017-05-18,5504.0,5994.0,-2887.6000000000004,1.4,-10,10,-0.00109279
2017-05-19,5476.0,5938.0,-3431.0,1.5,-10,10,-0.00139234
2017-05-22,5554.0,6000.0,-3446.0,1.5,-10,10,-0.00079673
2017-05-23,5488.0,5952.0,-4035.2000000000007,1.6,-10,10,0.00089704
2017-05-24,5450.0,5910.0,-4597.0,1.7,-10,10,-0.00019916
2017-05-25,5440.0,5916.0,-5208.800000000001,1.8,-10,10,0.00079681
2017-05-26,5380.0,5822.0,-5099.6,1.8,-10,10,-0.00169188
2017-05-31,5244.0,5670.0,-4962.0,1.8,-10,10,-0.00079753
2017-06-01,5226.0,5658.0,-2695.2,1.4,-10,10,0.00029931
2017-06-02,5236.0,5660.0,-2122.0,1.3,-10,10,-0.00039896
2017-06-05,5268.0,5712.0,-1015.2000000000007,1.1,-10,10,0.00099781
2017-06-06,5244.0,5742.0,-498.0,1.0,0,0,0.00044373
2017-06-07,5178.0,5728.0,-550.0,1.0,10,-10,-0.00254572
2017-06-08,5162.0,5728.0,-566.0,1.0,0,0,-0.0006538
2017-06-09,5174.0,5778.0,-604.0,1.0,0,0,0.0
2017-06-12,5316.0,5856.0,-540.0,1.0,0,0,0.0
2017-06-13,5240.0,5816.0,-576.0,1.0,0,0,0.0
2017-06-14,5242.0,5832.0,-590.0,1.0,0,0,0.0
2017-06-15,5238.0,5840.0,-602.0,1.0,0,0,0.0
2017-06-16,5320.0,5884.0,-564.0,1.0,0,0,0.0
2017-06-19,5380.0,5914.0,-534.0,1.0,0,0,0.0
2017-06-20,5270.0,5838.0,-568.0,1.0,0,0,0.0
2017-06-21,5208.0,5814.0,-606.0,1.0,0,0,0.0
2017-06-22,5180.0,5778.0,-598.0,1.0,0,0,0.0
2017-06-23,5208.0,5780.0,-572.0,1.0,0,0,0.0
2017-06-26,5210.0,5786.0,-576.0,1.0,0,0,0.0
2017-06-27,5232.0,5836.0,-604.0,1.0,0,0,0.0
2017-06-28,5222.0,5886.0,-664.0,1.0,0,0,0.0
2017-06-29,5268.0,5940.0,-672.0,1.0,0,0,0.0
2017-06-30,5304.0,5940.0,-42.0,0.9,0,0,0.0
2017-07-03,5342.0,6012.0,-68.80000000000018,0.9,0,0,0.0
2017-07-04,5272.0,5922.0,1126.6000000000004,0.7,0,0,0.0
2017-07-05,5338.0,5944.0,1177.1999999999998,0.7,-10,7,-0.00192639
2017-07-06,5412.0,5994.0,1815.6,0.6,-10,7,-0.00195292
2017-07-07,5418.0,6000.0,2418.0,0.5,-10,7,-9.031e-05
2017-07-10,5502.0,6110.0,2447.0,0.5,-10,7,-0.00035124
2017-07-11,5510.0,6152.0,1818.8000000000002,0.6,-10,7,0.00107417
2017-07-12,5292.0,6140.0,1608.0,0.6,-10,7,0.01050957
2017-07-13,5266.0,6100.0,1606.0,0.6,-10,7,-9.924e-05
2017-07-14,5222.0,6048.0,2198.0,0.5,-10,7,0.00037715
2017-07-17,5250.0,6078.0,2211.0,0.5,-10,7,-0.00034724
2017-07-18,5202.0,6048.0,2178.0,0.5,-10,7,0.00133982
2017-07-19,5220.0,6078.0,2181.0,0.5,-10,7,0.00014867
2017-07-20,5284.0,6132.0,2831.2,0.4,-10,7,-0.00129819
2017-07-21,5312.0,6136.0,2857.6,0.4,-10,7,-0.00125026
2017-07-24,5252.0,6074.0,3429.8,0.3,-10,7,0.00082462
2017-07-25,5382.0,6174.0,3529.8,0.3,-10,7,-0.00297809
2017-07-26,5348.0,6084.0,3522.8,0.3,-10,7,-0.00144371
2017-07-27,5450.0,6148.0,3605.6000000000004,0.3,-10,7,-0.00285171
2017-07-28,5388.0,6082.0,2955.2,0.4,-10,7,0.00078996
2017-07-31,5462.0,6318.0,2934.7999999999997,0.4,-10,7,0.00455619
2017-08-01,5428.0,6322.0,2899.2,0.4,-10,7,0.00183012
2017-08-02,5402.0,6264.0,2896.3999999999996,0.4,-10,7,-0.00072476
2017-08-03,5318.0,6162.0,2853.2,0.4,-10,7,0.00062593
2017-08-04,5352.0,6178.0,2880.7999999999997,0.4,-10,7,-0.00113192
2017-08-07,5320.0,6164.0,2854.3999999999996,0.4,-10,7,0.00110338
2017-08-08,5384.0,6272.0,2875.2,0.4,-10,7,0.00057591
2017-08-09,5440.0,6308.0,2916.7999999999997,0.4,-10,7,-0.00152825
2017-08-10,5418.0,6324.0,2888.3999999999996,0.4,-10,7,0.00164986
2017-08-11,5376.0,6266.0,3496.2,0.3,-10,7,6.946e-05
2017-08-14,5456.0,6292.0,3568.4,0.3,-10,7,-0.00306585
2017-08-15,5376.0,6266.0,2869.6,0.4,-10,7,0.00307528
2017-08-16,5292.0,6184.0,2818.3999999999996,0.4,-10,7,0.00131961
2017-08-17,5340.0,6224.0,2850.3999999999996,0.4,-10,7,-0.00099088
2017-08-18,5416.0,6280.0,2276.0,0.5,-10,7,-0.00182502
2017-08-21,5448.0,6296.0,1670.4,0.6,-10,7,-0.00103342
2017-08-22,5564.0,6394.0,1088.2000000000007,0.7,-10,7,-0.00235744
2017-08-23,5542.0,6412.0,1053.6000000000004,0.7,-10,7,0.0017249
2017-08-24,5578.0,6408.0,451.59999999999945,0.8,-10,7,-0.00193095
2017-08-25,5536.0,6358.0,449.59999999999945,0.8,-10,7,0.00034904
2017-08-28,5536.0,6364.0,444.7999999999993,0.8,0,0,-0.00052829
2017-08-29,5486.0,6316.0,433.1999999999998,0.8,-10,8,0.00028611
2017-08-30,5452.0,6284.0,424.7999999999993,0.8,0,0,0.00028663
2017-08-31,5470.0,6296.0,1062.8000000000002,0.7,0,0,0.0
2017-09-01,5524.0,6350.0,1079.0,0.7,0,0,0.0
2017-09-04,5534.0,6388.0,1062.4000000000005,0.7,0,0,0.0
2017-09-05,5566.0,6398.0,1087.4000000000005,0.7,0,0,0.0
2017-09-06,5556.0,6384.0,1087.2000000000007,0.7,0,0,0.0
2017-09-07,5538.0,6388.0,427.59999999999945,0.8,0,0,0.0
2017-09-08,5504.0,6320.0,-184.0,0.9,0,0,0.0
2017-09-11,5650.0,6388.0,-1376.8000000000002,1.1,0,0,0.0
2017-09-12,5662.0,6350.0,-1958.0,1.2,0,0,0.0
2017-09-13,5690.0,6332.0,-1908.3999999999996,1.2,0,0,0.0
2017-09-14,5808.0,6410.0,-1884.0,1.2,0,0,0.0
2017-09-15,5784.0,6410.0,-3190.0,1.4,10,-12,-0.00146269
2017-09-18,5744.0,6354.0,-3787.0,1.5,10,-12,0.00135773
2017-09-19,5760.0,6332.0,-5004.4,1.7,10,-12,0.00211359
2017-09-20,5720.0,6324.0,-4398.4000000000015,1.6,10,-12,-0.00151221
2017-09-21,5666.0,6276.0,-4375.6,1.6,10,-12,0.00017935
2017-09-22,5628.0,6232.0,-3720.0,1.5,10,-12,0.00073719
2017-09-25,5592.0,6174.0,-1816.7999999999993,1.2,10,-12,0.00167238
2017-09-26,5606.0,6180.0,44.0,0.9,10,-12,0.00033789
2017-09-27,5638.0,6166.0,1321.8000000000002,0.7,0,0,0.00065033
2017-09-28,5494.0,6074.0,3671.8,0.3,10,-7,-0.00423912
2017-09-29,5524.0,6088.0,3697.6000000000004,0.3,10,-7,0.00100702
2017-10-09,5582.0,6110.0,4360.0,0.2,10,-7,0.00212158
2017-10-10,5546.0,6066.0,4332.8,0.2,10,-7,-0.00025842
2017-10-11,5510.0,6038.0,4302.4,0.2,10,-7,-0.00081524
2017-10-12,5576.0,6072.0,3754.4,0.3,10,-7,0.00209946
2017-10-13,5584.0,6084.0,3758.8,0.3,10,-7,-1.986e-05
2017-10-16,5600.0,6104.0,3768.8,0.3,10,-7,9.929e-05
2017-10-17,5616.0,6098.0,3786.6000000000004,0.3,10,-7,0.00100277
2017-10-18,5552.0,6064.0,3732.8,0.3,10,-7,-0.00199362
2017-10-19,5486.0,5974.0,3693.8,0.3,10,-7,-0.00014907
2017-10-20,5596.0,6050.0,3781.0,0.3,10,-7,0.0028229
2017-10-23,5654.0,6066.0,3834.2,0.3,10,-7,0.00231936
2017-10-24,5688.0,6074.0,3258.4,0.4,10,-7,0.00140422
2017-10-25,5712.0,6134.0,3258.4,0.4,10,-7,-0.00088875
2017-10-26,5688.0,6130.0,3236.0,0.4,10,-7,-0.00104768
2017-10-27,5706.0,6128.0,2642.0,0.5,10,-7,0.00095973
2017-10-30,5746.0,6152.0,2670.0,0.5,10,-7,0.00114662
2017-10-31,5728.0,6128.0,2664.0,0.5,10,-7,-5.924e-05
2017-11-01,5654.0,6102.0,1992.8000000000002,0.6,10,-7,-0.00275482
2017-11-02,5698.0,6134.0,2017.6,0.6,10,-7,0.00106933
2017-11-03,5654.0,6118.0,1983.2000000000003,0.6,10,-7,-0.00162206
2017-11-06,5634.0,6108.0,1969.2000000000003,0.6,10,-7,-0.00064393
2017-11-07,5658.0,6144.0,1971.6000000000004,0.6,10,-7,-5.948e-05
2017-11-08,5606.0,6118.0,1935.2000000000003,0.6,10,-7,-0.00167541
2017-11-09,5710.0,6150.0,2020.0,0.6,10,-7,0.00405156
2017-11-10,5600.0,6078.0,737.5999999999995,0.8,10,-7,-0.00294729
