date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2017-02-08,416.5999999999999,120000.0,0.0,0,0.8,0.0,0.0,0,0,120000.0
2017-02-09,414.7999999999997,120000.0,0.0,0,0.8,519.0403809279005,0.0,0,0,120000.0
2017-02-10,432.0,120000.0,0.0,0,0.8,883.586731211468,0.0,0,0,120000.0
2017-02-13,453.0,120000.0,0.0,0,0.8,1120.7478372022185,0.0,0,0,120000.0
2017-02-14,86.79999999999973,120022.0,0.00018333333333342416,-10,0.9,0.0,0.0,0,1,55638.0
2017-02-15,-286.0,119990.0,-0.0002666177867390873,0,1.0,0.0,196.08628748329585,1,0,119990.0
2017-02-16,-272.0,119990.0,0.0,0,1.0,0.0,699.185505985612,1,0,119990.0
2017-02-17,-268.0,119990.0,0.0,0,1.0,0.0,1081.7779046760197,1,0,119990.0
2017-02-20,-216.0,119990.0,0.0,0,1.0,0.0,1358.9583192739847,1,0,119990.0
2017-02-21,-583.0,120010.0,0.00016668055671309467,10,1.1,0.0,0.0,0,1,46600.0
2017-02-22,-521.9000000000005,120010.0,0.0,0,1.1,0.0,361.7065442416563,1,0,120010.0
2017-02-23,-485.8000000000002,120010.0,0.0,0,1.1,0.0,545.5058273525462,1,0,120010.0
2017-02-24,-452.10000000000036,120189.0,0.001491542371468979,10,1.1,0.0,0.0,0,1,45070.0
2017-02-27,-488.8000000000002,120145.0,-0.0003660900747988194,0,1.1,0.0,23.278503654509876,1,0,120145.0
2017-02-28,-432.9000000000001,120145.0,0.0,0,1.1,0.0,54.08173668978897,1,0,120145.0
2017-03-01,307.4000000000001,120145.0,0.0,0,0.9,0.0,9.449087057481083,1,0,120145.0
2017-03-02,1047.7000000000003,120145.0,0.0,0,0.7,625.6185097667192,0.0,1,0,120145.0
2017-03-03,2851.4,120145.0,0.0,0,0.2,1699.3714066367877,0.0,1,0,120145.0
2017-03-06,3467.0,120145.0,0.0,0,0.0,3965.1332151715897,0.0,1,0,120145.0
2017-03-07,3146.2,120145.0,0.0,0,0.1,6202.489319399473,0.0,1,0,120145.0
