date,J-JM,OI-Y,L-MA,P-Y
2017-02-21,0.0,0.0,0.0,0.0
2017-02-22,0.0,0.0,0.0,0.0
2017-02-23,0.0,0.0,0.0,0.0
2017-02-24,0.0,0.0,0.0,0.0
2017-02-27,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0
2017-03-02,0.0,0.0,0.0,0.0
2017-03-03,0.0,0.0,0.0,0.0
2017-03-06,0.0,0.0,0.0,0.0
2017-03-07,0.0,0.0,0.0,0.0
2017-03-08,0.0,0.0,0.0,0.0
2017-03-09,0.0,0.0,0.0,0.0
2017-03-10,0.0,0.0,0.0,0.0
2017-03-13,0.0,0.0,0.0,0.0
2017-03-14,0.0,0.0,0.0,0.0
2017-03-15,0.0,0.0,0.0,0.0
2017-03-16,0.0,0.0,0.0,0.0
2017-03-17,0.0,0.0,0.0,0.0
2017-03-20,0.0,0.0,0.0,0.0
2017-03-21,0.0,0.0,0.0,0.0
2017-03-22,0.0,0.0,0.0,0.0
2017-03-23,-0.00114928,0.0,0.0,-0.00064715
2017-03-24,0.00132152,0.0,0.0,0.00120078
2017-03-27,0.00267954,0.0,0.0,0.00371794
2017-03-28,0.00104203,0.0,0.00783279,0.00099575
2017-03-29,-0.0013348,0.0,-0.00481727,0.00093507
2017-03-30,-0.0002804,0.0,0.00640094,0.00043728
2017-03-31,-0.00137497,0.0,0.00374976,0.00415237
2017-04-05,-0.00645921,-0.00095542,-0.0103239,0.00300742
2017-04-06,-0.00037207,0.0012612,-0.0017253,0.00134139
2017-04-07,-0.00068909,7.998e-05,0.00247255,0.00195029
2017-04-10,0.00028187,-0.00241907,0.00612376,0.00033182
2017-04-11,0.0003472,-6.012e-05,-0.00587354,-0.00202067
2017-04-12,-0.00082495,0.00336706,0.00347221,0.00055807
2017-04-13,0.00092128,-0.00117851,0.00190634,0.0
2017-04-14,0.00127251,-0.00187984,0.00325542,0.0
2017-04-17,0.0006681,-0.00138248,0.00189653,0.0
2017-04-18,-0.00026104,-0.00070223,-0.00199646,0.0
2017-04-19,-0.00029422,0.00028109,0.00391201,0.0
2017-04-20,5.098e-05,-0.00132476,-0.00271593,0.0
2017-04-21,8.054e-05,-0.00034168,0.00301934,0.0
2017-04-24,0.0,-0.00154814,0.00349228,0.0
2017-04-25,0.0,-0.00020137,0.00160772,0.0
2017-04-26,0.0,0.00195367,-0.00069491,0.0
2017-04-27,0.0,-0.0024725,-0.00012243,0.0
2017-04-28,0.0,0.00046348,-0.00971218,0.0
2017-05-02,0.0,-0.0030616,0.00025223,0.0
2017-05-03,0.0,-0.00042428,0.00038073,0.0
2017-05-04,0.0,-0.0011319,-0.00445331,0.0
2017-05-05,0.0,0.00230684,-0.00140006,-0.00078388
2017-05-08,0.0,-0.00159492,-5.469e-05,-0.00455054
2017-05-09,0.0,0.00196145,-0.00016407,0.00010884
2017-05-10,0.0,0.00197779,0.00286432,0.00023745
2017-05-11,0.0,-6.043e-05,-0.00592055,-0.00458954
2017-05-12,0.0,0.00038272,-0.00397054,0.00011924
