date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2019-06-03,3371.0,2000000.0,0.0,0,0.6,0.0,0.0,0,0,2000000.0
2019-06-04,3427.0,2000000.0,0.0,0,0.6,1660.3287789094945,0.0,0,0,2000000.0
2019-06-05,4430.0,2000000.0,0.0,0,0.5,2837.1629813413906,0.0,0,0,2000000.0
2019-06-06,5157.0,2000000.0,0.0,0,0.4,4412.192852063807,0.0,0,0,2000000.0
2019-06-10,4092.5,2000000.0,0.0,0,0.5,6120.219633858255,0.0,0,0,2000000.0
2019-06-11,3152.0,2000000.0,0.0,0,0.6,6407.636706568408,0.0,0,0,2000000.0
2019-06-12,1184.0,2000000.0,0.0,0,0.8,5664.4230277177,373.0720354350067,0,0,2000000.0
2019-06-13,-1025.0,2000000.0,0.0,0,1.0,3052.579618488222,2482.8000547769566,0,0,2000000.0
2019-06-14,-1085.0,2000000.0,0.0,0,1.0,0.0,5996.049135633886,0,0,2000000.0
2019-06-17,-259.0,2000000.0,0.0,0,0.9,0.0,8834.340106984213,0,0,2000000.0
2019-06-18,1860.0,2000000.0,0.0,0,0.7,0.0,10185.780541890323,0,0,2000000.0
2019-06-19,1833.5,2000000.0,0.0,0,0.7,321.3733775011596,9049.868205105768,0,0,2000000.0
2019-06-20,1691.000000000001,2000000.0,0.0,0,0.7,1020.9010426781836,7699.681584568505,0,0,2000000.0
2019-06-21,2827.0,2000000.0,0.0,0,0.6,1842.9224112943978,6339.560096041861,0,0,2000000.0
2019-06-24,5996.0,2000000.0,0.0,0,0.3,3518.0912572137663,4030.014656246944,0,0,2000000.0
2019-06-25,8077.5,2000000.0,0.0,0,0.1,7220.155107278193,0.0,0,0,2000000.0
2019-06-26,8061.5,2000000.0,0.0,0,0.1,11575.865150874162,0.0,0,0,2000000.0
2019-06-27,8208.5,2000000.0,0.0,0,0.1,14711.671080416592,0.0,0,0,2000000.0
2019-06-28,7053.0,2000000.0,0.0,0,0.2,17070.20162049329,0.0,0,0,2000000.0
2019-07-01,7032.0,2000000.0,0.0,0,0.2,17598.843752447734,0.0,0,0,2000000.0
2019-07-02,7062.0,1999633.1663288,-0.00018341683560008093,-10,0.2,0.0,0.0,0,1,1888587.6823288
2019-07-03,5960.0,1999636.0979793,1.4660941562993912e-06,0,0.3,0.0,132.99870343862275,1,0,1999636.0979793
2019-07-04,3017.0,1999636.0979793,0.0,0,0.6,0.0,1360.8147639100296,1,0,1999636.0979793
2019-07-05,3108.0,1999636.0979793,0.0,0,0.6,0.0,4619.670707592833,1,0,1999636.0979793
2019-07-08,2255.500000000001,1999636.0979793,0.0,0,0.7,0.0,7020.257165079568,1,0,1999636.0979793
2019-07-09,-1870.0000000000018,1999636.0979793,0.0,0,1.1,0.0,9398.299427121226,1,0,1999636.0979793
2019-07-10,-7036.0,1999636.0979793,0.0,0,1.6,0.0,14423.549843984105,1,0,1999636.0979793
2019-07-11,-8102.5,1999636.0979793,0.0,0,1.7,0.0,22278.89338980072,1,0,1999636.0979793
2019-07-12,-7086.0,1999636.0979793,0.0,0,1.6,0.0,28913.952088837003,1,0,1999636.0979793
2019-07-15,-12342.0,1999636.0979793,0.0,0,2.1,0.0,32730.602725878787,1,0,1999636.0979793
2019-07-16,-14514.999999999996,1999636.0979793,0.0,0,2.3,0.0,39484.681610222884,1,0,1999636.0979793
2019-07-17,-14428.999999999996,1999636.0979793,0.0,0,2.3,0.0,45893.60488163674,1,0,1999636.0979793
2019-07-18,-15262.0,2000809.2859064497,0.0005867007143625091,10,2.4,0.0,0.0,0,2,1663203.2889064497
2019-07-19,-16225.5,2001504.2859064497,0.00034735944344888026,10,2.5,0.0,3264.660949081332,1,2,1663203.2889064497
2019-07-22,-13175.000000000004,2000879.6646076497,-0.00031207592369308923,0,2.2,0.0,6203.359846140999,2,0,2000879.6646076497
2019-07-23,-9172.0,2000879.6646076497,0.0,0,1.8,0.0,5483.810636671105,2,0,2000879.6646076497
2019-07-24,-6982.0,2000879.6646076497,0.0,0,1.6,3950.81434536953,601.3392677549218,2,0,2000879.6646076497
2019-07-25,-3916.0,2000879.6646076497,0.0,0,1.3,9105.988766419188,0.0,2,0,2000879.6646076497
2019-07-26,-3012.0,2000879.6646076497,0.0,0,1.2,15564.39167575263,0.0,2,0,2000879.6646076497
2019-07-29,-3000.0,2000879.6646076497,0.0,0,1.2,21161.09531358655,0.0,2,0,2000879.6646076497
