date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2017-03-01,903.1999999999998,310000.0,0.0,0,0.9,0.0,0.0,0,0,310000.0
2017-03-02,892.8000000000002,310000.0,0.0,0,0.9,0.0,0.0,0,0,310000.0
2017-03-03,893.1999999999998,310000.0,0.0,0,0.9,0.0,4.980039873380954,0,0,310000.0
2017-03-06,196.0,310000.0,0.0,0,1.0,0.0,7.383699213195399,0,0,310000.0
2017-03-07,174.0,310000.0,0.0,0,1.0,0.0,476.95151109038005,0,0,310000.0
2017-03-08,136.0,310000.0,0.0,0,1.0,0.0,822.8768708949301,0,0,310000.0
2017-03-09,52.0,310000.0,0.0,0,1.0,0.0,1077.355123031787,0,0,310000.0
2017-03-10,-625.4000000000005,310000.0,0.0,0,1.1,0.0,1285.7063778506183,0,0,310000.0
2017-03-13,-509.60000000000036,310000.0,0.0,0,1.1,0.0,1894.1028555521727,0,0,310000.0
2017-03-14,-1078.7999999999993,310000.0,0.0,0,1.2,0.0,2196.863011699983,0,0,310000.0
2017-03-15,-1103.5999999999995,310000.0,0.0,0,1.2,0.0,2788.051513781435,0,0,310000.0
2017-03-16,-858.0,310000.0,0.0,0,1.2,0.0,3192.8451569009994,0,0,310000.0
2017-03-17,-243.40000000000055,310000.0,0.0,0,1.1,0.0,3229.672457941615,0,0,310000.0
2017-03-20,-259.60000000000036,310000.0,0.0,0,1.1,165.70620472704468,2634.5215198115184,0,0,310000.0
2017-03-21,-369.8000000000002,310000.0,0.0,0,1.1,395.495597581131,2046.825198379891,0,0,310000.0
2017-03-22,292.0,310000.0,0.0,0,1.0,469.714989001807,1596.9874469434244,0,0,310000.0
2017-03-23,258.0,310000.0,0.0,0,1.0,1021.3748171109322,530.0187036239782,0,0,310000.0
2017-03-24,260.0,310000.0,0.0,0,1.0,1345.6043097740835,0.0,0,0,310000.0
2017-03-27,302.0,310000.0,0.0,0,1.0,1523.268784697156,0.0,0,0,310000.0
2017-03-28,940.0,310000.0,0.0,0,0.9,1637.549595601828,0.0,0,0,310000.0
2017-03-29,936.5999999999995,310000.0,0.0,0,0.9,2159.334277073415,0.0,0,0,310000.0
2017-03-30,934.1999999999998,310000.0,0.0,0,0.9,2495.5759206659736,0.0,0,0,310000.0
2017-03-31,1500.8000000000002,310000.0,0.0,0,0.8,2693.0896856200497,0.0,0,0,310000.0
2017-04-05,1534.0,310000.0,0.0,0,0.8,3223.684522833917,0.0,0,0,310000.0
2017-04-06,1508.8000000000002,310000.0,0.0,0,0.8,3589.613018886089,0.0,0,0,310000.0
2017-04-07,1507.1999999999998,310000.0,0.0,0,0.8,3778.0329230151992,0.0,0,0,310000.0
2017-04-10,1555.5999999999995,309609.78057088,-0.0012587723520000038,-10,0.8,0.0,0.0,0,1,199603.46057087998
2017-04-11,1556.8000000000002,309513.57488287997,-0.0003107320699708982,0,0.8,58.466134392382116,0.0,1,0,309513.57488287997
