date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2017-02-08,416.5999999999999,120000.0,0.0,0,0.8,0.0,0.0,0,0,120000.0
2017-02-09,414.7999999999997,120000.0,0.0,0,0.8,519.0403809279005,0.0,0,0,120000.0
2017-02-10,432.0,120000.0,0.0,0,0.8,883.586731211468,0.0,0,0,120000.0
2017-02-13,453.0,120000.0,0.0,0,0.8,1120.7478372022185,0.0,0,0,120000.0
2017-02-14,86.79999999999973,119983.38321562001,-0.00013847320316662248,-10,0.9,0.0,0.0,0,1,55620.07721562
2017-02-15,-286.0,119912.85559910002,-0.0005878115338124879,0,1.0,0.0,196.08628748329585,1,0,119912.85559910002
2017-02-16,-272.0,119912.85559910002,0.0,0,1.0,0.0,699.185505985612,1,0,119912.85559910002
2017-02-17,-268.0,119912.85559910002,0.0,0,1.0,0.0,1081.7779046760197,1,0,119912.85559910002
2017-02-20,-216.0,119912.85559910002,0.0,0,1.0,0.0,1358.9583192739847,1,0,119912.85559910002
2017-02-21,-583.0,119888.82178540004,-0.00020042733183112116,10,1.1,0.0,0.0,0,1,46501.45978540003
2017-02-22,-521.9000000000005,119844.72760090003,-0.000367792291586011,0,1.1,0.0,361.7065442416563,1,0,119844.72760090003
2017-02-23,-485.8000000000002,119844.72760090003,0.0,0,1.1,0.0,545.5058273525462,1,0,119844.72760090003
2017-02-24,-452.10000000000036,119978.76402390003,0.0011184173528797636,10,1.1,0.0,0.0,0,1,44883.65602390002
2017-02-27,-488.8000000000002,119890.04861305004,-0.0007394259440138828,0,1.1,0.0,23.278503654509876,1,0,119890.04861305004
2017-02-28,-432.9000000000001,119890.04861305004,0.0,0,1.1,0.0,54.08173668978897,1,0,119890.04861305004
2017-03-01,307.4000000000001,119890.04861305004,0.0,0,0.9,0.0,9.449087057481083,1,0,119890.04861305004
2017-03-02,1047.7000000000003,119890.04861305004,0.0,0,0.7,625.6185097667192,0.0,1,0,119890.04861305004
2017-03-03,2851.4,119890.04861305004,0.0,0,0.2,1699.3714066367877,0.0,1,0,119890.04861305004
