date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2017-02-08,3983.0,320000.0,0.0,0,0.5,0.0,0.0,0,0,320000.0
2017-02-09,3451.2000000000003,320000.0,0.0,0,0.6,0.0,2090.486056180372,0,0,320000.0
2017-02-10,3989.0,320000.0,0.0,0,0.5,0.0,4080.9191317080686,0,0,320000.0
2017-02-13,4036.0,320000.0,0.0,0,0.5,0.0,5053.167371762762,0,0,320000.0
2017-02-14,6950.6,320000.0,0.0,0,-0.1,0.0,5551.797491639907,0,0,320000.0
2017-02-15,6613.8,320000.0,0.0,0,-0.1,1865.8129973664295,3147.7819175777645,0,0,320000.0
2017-02-16,8061.6,320000.0,0.0,0,-0.4,3351.9517111847877,1104.492059967552,0,0,320000.0
2017-02-17,9107.6,320000.0,0.0,0,-0.6,5745.5676180088885,0.0,0,0,320000.0
2017-02-20,10732.6,320000.0,0.0,0,-0.9,8379.129576159034,0.0,0,0,320000.0
2017-02-21,11756.8,320000.0,0.0,0,-1.1,11541.759423604402,0.0,0,0,320000.0
2017-02-22,12299.2,320000.0,0.0,0,-1.2,14593.847583539591,0.0,0,0,320000.0
2017-02-23,13409.2,320000.0,0.0,0,-1.4,17075.46643140723,0.0,0,0,320000.0
2017-02-24,13871.0,320000.0,0.0,0,-1.5,19711.85402704682,0.0,0,0,320000.0
2017-02-27,15014.6,320000.0,0.0,0,-1.7,21832.025626288178,0.0,0,0,320000.0
2017-02-28,14937.8,320000.0,0.0,0,-1.7,24133.546774060273,0.0,0,0,320000.0
2017-03-01,14840.8,320000.0,0.0,0,-1.7,25601.233168844206,0.0,0,0,320000.0
2017-03-02,15469.6,320000.0,0.0,0,-1.8,26445.869746034965,0.0,0,0,320000.0
2017-03-03,15243.8,320000.0,0.0,0,-1.7,27427.960140087125,0.0,0,0,320000.0
2017-03-06,13285.8,320000.0,0.0,0,-1.3,27837.046970940388,0.0,0,0,320000.0
2017-03-07,9482.8,320000.0,0.0,0,-0.6,26298.690124512847,1222.4431535724618,0,0,320000.0
2017-03-08,6625.6,320000.0,0.0,0,-0.1,21316.13243390049,5352.914034388675,0,0,320000.0
2017-03-09,5765.8,320000.0,0.0,0,0.1,14411.957239225883,10879.310268285499,0,0,320000.0
2017-03-10,4099.6,320000.0,0.0,0,0.4,7811.18612648733,15808.139155546949,0,0,320000.0
2017-03-13,3060.8,320000.0,0.0,0,0.6,974.4036506048569,20764.44239395019,0,0,320000.0
2017-03-14,1434.0,320000.0,0.0,0,1.0,0.0,25000.633397627047,0,0,320000.0
2017-03-15,4825.6,320000.0,0.0,0,0.4,0.0,29007.660945858446,0,0,320000.0
2017-03-16,4221.0,318550.988028,-0.004528162412499981,10,0.5,0.0,0.0,0,3,227398.98802800002
2017-03-17,5535.6,320650.988028,0.006592351237081795,10,0.3,0.0,0.0,1,3,227398.98802800002
2017-03-20,4408.0,320694.988028,0.00013722084647427302,10,0.5,1100.3490497827377,0.0,2,3,227398.98802800002
2017-03-21,1240.0,320668.77934400004,-8.172464484434983e-05,0,1.0,1300.5251737526833,0.0,3,0,320668.77934400004
2017-03-22,1815.5999999999995,320668.77934400004,0.0,0,0.9,0.0,1957.4110419321044,3,0,320668.77934400004
2017-03-23,4512.0,320668.77934400004,0.0,0,0.4,0.0,3137.277064338524,3,0,320668.77934400004
2017-03-24,7908.0,320668.77934400004,0.0,0,-0.2,395.44317524862737,2096.6630967300084,3,0,320668.77934400004
2017-03-27,9140.4,320668.77934400004,0.0,0,-0.4,3621.074864305453,0.0,3,0,320668.77934400004
2017-03-28,9928.0,320668.77934400004,0.0,0,-0.5,7242.867310770507,0.0,3,0,320668.77934400004
2017-03-29,9397.2,320668.77934400004,0.0,0,-0.4,10910.978279783772,0.0,3,0,320668.77934400004
2017-03-30,7086.0,320668.77934400004,0.0,0,0.0,13290.074537392486,0.0,3,0,320668.77934400004
2017-03-31,6402.6,320668.77934400004,0.0,0,0.1,12670.81306989332,0.0,3,0,320668.77934400004
2017-04-05,5455.4,320668.77934400004,0.0,0,0.3,10921.361733382277,980.8343777746741,3,0,320668.77934400004
2017-04-06,4858.799999999999,320668.77934400004,0.0,0,0.4,8139.843742858255,3093.544958679226,3,0,320668.77934400004
2017-04-07,6676.0,320668.77934400004,0.0,0,-0.0,5125.857468223228,5295.787255472775,3,0,320668.77934400004
2017-04-10,4810.4,320668.77934400004,0.0,0,0.3,4306.937242381669,5354.581315345502,3,0,320668.77934400004
2017-04-11,2112.8,320668.77934400004,0.0,0,0.8,2413.956283348608,6608.3432134552995,3,0,320668.77934400004
2017-04-12,994.0,320668.77934400004,0.0,0,1.0,0.0,9503.00141483581,3,0,320668.77934400004
2017-04-13,-1120.7999999999993,320668.77934400004,0.0,0,1.4,0.0,12553.852792800757,3,0,320668.77934400004
2017-04-14,-2698.7999999999993,320668.77934400004,0.0,0,1.7,0.0,16513.22980838393,3,0,320668.77934400004
2017-04-17,-4496.800000000001,320668.77934400004,0.0,0,2.1,0.0,20760.15920452863,3,0,320668.77934400004
2017-04-18,-5800.4,320668.77934400004,0.0,0,2.3,0.0,25352.422971084623,3,0,320668.77934400004
2017-04-19,-7719.800000000001,320668.77934400004,0.0,0,2.7,0.0,29512.152572462423,3,0,320668.77934400004
2017-04-20,-8198.0,321514.014205,0.0026358501838847914,10,2.8,0.0,0.0,0,2,128494.01420500001
2017-04-21,-8348.0,320114.014205,-0.004354398060880005,10,2.8,0.0,3367.596942122005,1,2,128494.01420500001
2017-04-24,-8705.8,322123.76134200004,0.0062782229075200036,0,2.9,0.0,5664.115988065869,2,0,322123.76134200004
2017-04-25,-8188.4,322123.76134200004,0.0,0,2.8,0.0,7344.335649632175,2,0,322123.76134200004
2017-04-26,-8370.4,322123.76134200004,0.0,0,2.8,0.0,7866.1655200924115,2,0,322123.76134200004
2017-04-27,-6767.0,323301.6084702001,0.0036565049510568493,10,2.5,0.0,0.0,0,1,111237.60847020007
2017-04-28,-5240.000000000002,323462.5142824001,0.0004976956748261596,0,2.2,1148.5390549212032,0.0,1,0,323462.5142824001
2017-05-02,-4376.0,323462.5142824001,0.0,0,2.0,3347.9218723268477,0.0,1,0,323462.5142824001
2017-05-03,-3144.800000000001,323462.5142824001,0.0,0,1.8,5768.580281132489,0.0,1,0,323462.5142824001
2017-05-04,-3089.6000000000004,323462.5142824001,0.0,0,1.8,8586.263983221143,0.0,1,0,323462.5142824001
2017-05-05,-3469.3999999999996,323462.5142824001,0.0,0,1.9,10648.33230307238,0.0,1,0,323462.5142824001
2017-05-08,-3419.7999999999993,323462.5142824001,0.0,0,1.9,11698.724138615515,0.0,1,0,323462.5142824001
2017-05-09,-3368.199999999999,324394.61149280006,0.002881623586176163,-10,1.9,0.0,0.0,0,1,161631.34749280007
2017-05-10,-3704.0,322329.50053280004,-0.0063660458183839586,0,2.0,203.47680844870436,0.0,1,0,322329.50053280004
2017-05-11,-1665.2000000000007,322329.50053280004,0.0,0,1.6,0.0,107.04067042907074,1,0,322329.50053280004
2017-05-12,825.3999999999996,322329.50053280004,0.0,0,1.1,1322.8299075103419,0.0,1,0,322329.50053280004
2017-05-15,2879.0,322329.50053280004,0.0,0,0.7,4376.744743670688,0.0,1,0,322329.50053280004
2017-05-16,3852.0,322329.50053280004,0.0,0,0.5,8441.013849184406,0.0,1,0,322329.50053280004
2017-05-17,6193.8,322329.50053280004,0.0,0,0.1,12316.150962304051,0.0,1,0,322329.50053280004
2017-05-18,6163.8,322329.50053280004,0.0,0,0.1,17034.808661346713,0.0,1,0,322329.50053280004
2017-05-19,5779.6,322329.50053280004,0.0,0,0.2,20361.682708926368,0.0,1,0,322329.50053280004
2017-05-22,5758.8,322329.50053280004,0.0,0,0.2,22109.435124257587,0.0,1,0,322329.50053280004
2017-05-23,5791.2,321585.47025280003,-0.00230829098413321,-10,0.2,0.0,0.0,0,3,243538.27025280005
2017-05-24,982.1999999999998,321993.47025280003,0.0012687140363625282,-10,1.1,328.8776148782451,0.0,1,3,243538.27025280005
2017-05-25,-1401.0,322761.47025280003,0.002385141535314439,-10,1.5,0.0,3566.3094585817025,2,3,243538.27025280005
2017-05-26,433.1999999999998,323014.47077356005,0.0007838622142906093,0,1.2,0.0,8532.005207825878,3,0,323014.47077356005
2017-05-31,208.0,323014.47077356005,0.0,0,1.2,0.0,10812.76467467116,3,0,323014.47077356005
2017-06-01,138.0,323014.47077356005,0.0,0,1.2,0.0,12483.683851662992,3,0,323014.47077356005
2017-06-02,1098.0,323014.47077356005,0.0,0,1.0,0.0,13472.052838616644,3,0,323014.47077356005
2017-06-05,2169.2,323014.47077356005,0.0,0,0.8,0.0,12959.428665722971,3,0,323014.47077356005
2017-06-06,3772.0,322702.6465361601,-0.0009653568666853074,10,0.5,0.0,0.0,0,2,215094.6465361601
2017-06-07,5450.8,323362.6465361601,0.002045226486625751,10,0.2,2523.88284146981,0.0,1,2,215094.6465361601
2017-06-08,7034.6,323290.8219861601,-0.00022211764645463372,0,-0.1,5671.266608345134,0.0,2,0,323290.8219861601
2017-06-09,9479.2,323290.8219861601,0.0,0,-0.6,9331.844656426962,0.0,2,0,323290.8219861601
2017-06-12,9930.4,323290.8219861601,0.0,0,-0.7,13975.177483001438,0.0,2,0,323290.8219861601
2017-06-13,9350.0,323290.8219861601,0.0,0,-0.6,17654.34270907473,0.0,2,0,323290.8219861601
2017-06-14,7320.8,323290.8219861601,0.0,0,-0.2,19652.752343048793,0.0,2,0,323290.8219861601
2017-06-15,-88.39999999999964,323290.8219861601,0.0,0,1.2,19037.82121962408,0.0,2,0,323290.8219861601
2017-06-16,936.0,323290.8219861601,0.0,0,1.0,11326.622481070586,6316.286975732222,2,0,323290.8219861601
2017-06-19,-1875.0,323290.8219861601,0.0,0,1.5,5150.575073148681,10828.982424953178,2,0,323290.8219861601
2017-06-20,6619.0,323290.8219861601,0.0,0,-0.1,0.0,16684.08504227278,2,0,323290.8219861601
2017-06-21,4998.8,323290.8219861601,0.0,0,0.2,1054.6741081896848,13698.702007605325,2,0,323290.8219861601
2017-06-22,5562.2,323290.8219861601,0.0,0,0.1,1310.3013255679903,11745.643510697915,2,0,323290.8219861601
2017-06-23,7221.6,323290.8219861601,0.0,0,-0.2,2793.3645525089464,8810.992451924585,2,0,323290.8219861601
2017-06-26,9368.0,323290.8219861601,0.0,0,-0.6,5953.584416363842,4206.355172922339,2,0,323290.8219861601
2017-06-27,10644.0,323290.8219861601,0.0,0,-0.8,9856.637188478993,0.0,2,0,323290.8219861601
2017-06-28,10050.0,323290.8219861601,0.0,0,-0.7,13615.59416668185,0.0,2,0,323290.8219861601
2017-06-29,9530.0,323290.8219861601,0.0,0,-0.6,15436.448034954441,0.0,2,0,323290.8219861601
2017-06-30,8486.0,323290.8219861601,0.0,0,-0.4,16317.737466103761,0.0,2,0,323290.8219861601
2017-07-03,9166.0,323290.8219861601,0.0,0,-0.5,15755.040189372094,0.0,2,0,323290.8219861601
2017-07-04,10640.0,323290.8219861601,0.0,0,-0.8,15490.02093512089,0.0,2,0,323290.8219861601
2017-07-05,12330.0,323290.8219861601,0.0,0,-1.1,16273.241140290153,0.0,2,0,323290.8219861601
2017-07-06,13388.0,323290.8219861601,0.0,0,-1.3,18232.55548482029,0.0,2,0,323290.8219861601
2017-07-07,16672.0,323290.8219861601,0.0,0,-1.9,20754.7390538751,0.0,2,0,323290.8219861601
2017-07-10,18248.0,323290.8219861601,0.0,0,-2.2,25389.704136412583,0.0,2,0,323290.8219861601
2017-07-11,18832.0,323290.8219861601,0.0,0,-2.3,30195.593892722707,0.0,2,0,323290.8219861601
2017-07-12,19082.8,323290.8219861601,0.0,0,-2.4,34087.58652581174,0.0,2,0,323290.8219861601
2017-07-13,17563.2,323290.8219861601,0.0,0,-2.1,36883.78998409466,0.0,2,0,323290.8219861601
2017-07-14,16530.8,323290.8219861601,0.0,0,-1.9,37321.44123852207,0.0,2,0,323290.8219861601
2017-07-17,16101.0,323290.8219861601,0.0,0,-1.7,36275.14926854152,268.33660144802764,2,0,323290.8219861601
2017-07-18,12951.0,323290.8219861601,0.0,0,-1.1,34564.031556582464,1506.590318060396,2,0,323290.8219861601
2017-07-19,9791.0,323290.8219861601,0.0,0,-0.5,30046.825250754842,5175.612583661349,2,0,323290.8219861601
2017-07-20,2576.0,323290.8219861601,0.0,0,0.8,23328.953789418338,10547.683979467705,2,0,323290.8219861601
2017-07-21,-8127.999999999998,323290.8219861601,0.0,0,2.8,11245.205986562749,20339.307605183545,2,0,323290.8219861601
2017-07-24,-9746.0,323290.8219861601,0.0,0,3.0,0.0,36216.520336430556,2,0,323290.8219861601
